page,din_rows,ok_rows,issues
443,33,33,"Header calibration weak, Manufacturer pack leaks (33), Multiple generics (3)"
444,8,8,"Header calibration weak, Manufacturer pack leaks (8), Multiple generics (7)"
445,15,15,"Header calibration weak, Manufacturer pack leaks (15), Multiple generics (6)"
446,11,11,"Header calibration weak, Manufacturer pack leaks (11), Multiple generics (7)"
447,36,36,"Header calibration weak, Manufacturer pack leaks (36)"
448,20,20,"Header calibration weak, Manufacturer pack leaks (20), Multiple generics (3)"
449,19,19,"Header calibration weak, Manufacturer pack leaks (19), Multiple generics (5)"
450,31,31,"Header calibration weak, Manufacturer pack leaks (31)"
451,11,11,"Header calibration weak, Manufacturer pack leaks (11), Multiple generics (5)"
452,23,23,"Header calibration weak, Manufacturer pack leaks (23), Multiple generics (4)"
453,21,21,"Header calibration weak, Manufacturer pack leaks (21), Multiple generics (4)"
454,8,8,"Header calibration weak, Manufacturer pack leaks (8), Multiple generics (6)"
