LOCAL_PACK_CODE,PCID Mapping
MAL20026046ARZ,1959181
MAL19930600AZ,1836225
MAL07081476AZ,1691765
MAL19910599XC,943852
MAL19991509XC,1959126
MAL19940028AZ,943385
MAL08111816XC,943219
MAL18106134AZ,1691355
MAL19950394AZ,2221398
MAL19900462AZ,1691338
MAL20031761ARZ,1691630
MAL10080052AZ,1691628
MAL19912640X,1691756
MAL23036028XCZ,1964110
MAL19860789AZ,1691326
MAL20046096ACZ,1901514
MAL19972516AZ,1691786
MAL19861062AZ,1691681
MAL20106013XZ,1691798
MAL20034002XRZ,1691984
MAL07122841X,943488
MAL19920729AZ,1691430
MAL19890247AZ,287410
MAL20014497AZ,1420984
MAL19950086AZ,1901538
MAL20014355AZ,943801
MAL22076018AZ,1948099
MAL13125011AZ,1676518
MAL20001622XZ,1691604
MAL20026079X,1691424
MAL20002269AZ,296210
MAL19890329AZ,287303
MAL19950156AZ,284098
MAL19860095AZ,943274
MAL19900184AZ,1691800
MAL06011719X,1565761
MAL19900055AZ,944049
MAL22026016X,1953477
MAL20021367AZ,1691749
MAL20014203AZ,1691803
MAL20001062XZ,1959137
MAL20001834X,1692165
MAL20116003ACRZ,1959178
MAL19912697XZ,1692145
MAL19992765AZ,943159
MAL19992692ACZ,1964104
MAL21096003ACZ,1959247
MAL06061696AZ,327244
MAL20021164AZ,512095
MAL20001562AZ,1901524
MAL05032545AZ,943576
MAL20034609AZ,1901509
MAL10120046X,1901515
MAL06121030AZ,1565912
MAL19086002AZ,1691872
MAL10100038X,1964112
MAL19984028AZ,1901528
MAL20132309AZ,1901619
MAL19950593AZ,302687
MAL17035024ACZ,1901475
MAL04103441AZ,618974
MAL19861325AZ,1692018
MAL20020023AZ,1565804
MAL20034217AZ,1421011
MAL19993047AZ,943811
MAL18056092X,1953359
MAL20014321AZ,1420982
MAL19985559AZ,1565947
MAL08042478AZ,1691336
MAL19872269AZ,1959249
MAL19993078AZ,288607
MAL20046121AZ,1691727
MAL19860806AZ,420720
MAL19912378XR,1959145
MAL19860662AZ,515420
MAL21036024AZ,1691735
MAL20014319AZ,943526
MAL06111294ACSZ,737889
MAL19973311AZ,1691672
MAL19870732AZ,1691773
MAL19940034AZ,1691809
MAL08042468AZ,944058
MAL10110024AZ,1974914
MAL20034184AZ,1901632
MAL10033194AZ,239099
MAL11115006AZ,1565775
MAL19970979AZ,1565846
MAL19900021AZ,1691303
MAL20040247XZ,1901606
MAL20040803ACZ,1959123
MAL19900592AZ,1901533
MAL20000370AZ,1901498
MAL19985971AZ,1691503
MAL13115210AZ,1676520
MAL19961337AZ,1959171
MAL07091072XZ,1691983
MAL19930605AZ,1565951
MAL15095018AZ,1691462
MAL07081616AZ,1691772
MAL16025035AZ,1692038
MAL19890622AZ,1565874
MAL20020257AZ,1691912
MAL19972152X,1692166
MAL04125482AZ,1691636
MAL19984023AZ,317391
MAL19920267X,2107607
MAL14055047AZ,1901488
MAL19890545AZ,1959167
MAL20076030ACZ,943907
MAL19870759AZ,1837957
MAL12110005ACZ,1901495
MAL09051623AZ,1901636
MAL11060005AZ,1836234
MAL13055064ACZ,1691306
MAL22096011AZ,1964118
MAL19871101AZ,665163
MAL12115059AZ,943225
MAL19051007AZ,1691616
MAL06121027AZ,1565907
MAL05023182ACZ,1901574
MAL12055037X,1565932
MAL20031763X,1420990
MAL22016011ACZ,1959257
MAL05051054AZ,1565834
MAL10080065AZ,1691245
MAL19940144AZ,1565871
MAL19860568AZ,1691347
MAL16065048AZ,1692053
MAL20076002AZ,1959264
MAL19984857XZ,1691722
MAL08042479AZ,65575
MAL19860458AZ,1691881
MAL19962172XZ,1691675
MAL13075046N,2223117
MAL10012456XZ,1691670
MAL06051328AZ,923412
MAL10080041AZ,65577
MAL19911445XZ,1565915
MAL20013455AZ,2171443
MAL21096007AZ,1901566
MAL19970964AZ,343491
MAL19992398AZ,1692002
MAL20040171XRZ,1959160
MAL07081598AZ,943529
MAL20046110AZ,1691780
MAL21016013AZ,1692181
MAL19912644XZ,1692047
MAL20013121AZ,1565844
MAL20016142AZ,1691709
MAL23036018AZ,1948057
MAL19911423XZ,1691862
MAL19985538AZ,345523
MAL11080004ARZ,2221402
MAL20013175X,1692035
MAL06051310AZ,1691321
MAL19961009XZ,1901561
MAL19900183AZ,860912
MAL06121052X,943578
MAL14095051AZ,1420975
MAL19912631XZ,1691421
MAL19871725AZ,1691571
MAL20021017X,1420927
MAL17107026AZ,1692071
MAL18016052AZ,1691287
MAL20002268AZ,1691635
MAL19940204XC,1959169
MAL06091382ARZ,1901565
MAL18016024ACZ,1691374
MAL06061674ARZ,1691442
MAL17085060AZ,1565962
MAL20034631ACZ,327003
MAL08042384X,490186
MAL09011474AZ,1676525
MAL19910073AZ,944120
MAL09020981X,1691710
MAL19962866AZ,193764
MAL20051466AZ,1565902
MAL19940726AZ,65634
MAL21026038AZ,1959166
MAL20013450AZ,2171689
MAL06091431XC,1565977
MAL19972150AZ,1565744
MAL13055074ARZ,1901466
MAL15045058AZ,1565769
MAL07050906AZ,943607
MAL16065023AZ,1691477
MAL19930398AZ,665095
MAL20020154AZ,1420914
MAL20032250AZ,318913
