input_company,input_product_name,timestamp,error_message
Siegfried,EMPAX MET,2026-01-18T14:39:11,"Driver error during search: Message: 
"
Elea,FALGOS EXPENDEDOR X 25 BL,2026-01-18T14:39:23,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-18T14:49:52,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-18T14:50:13,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-18T14:50:35,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-18T14:50:56,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-18T14:51:18,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-18T14:51:40,"Driver error during search: Message: 
"
Pharmatrix,DRUM ß,2026-01-18T14:52:01,"Driver error during search: Message: 
"
Siegfried,EMPAX MET,2026-01-18T14:52:23,"Driver error during search: Message: 
"
Elea,FALGOS EXPENDEDOR X 25 BL,2026-01-18T14:52:45,"Driver error during search: Message: 
"
Andrómaco,FITONAL,2026-01-18T15:03:41,"Driver error during search: Message: 
"
Beta,FLOCUR,2026-01-18T15:08:41,"Driver error during search: Message: 
"
Isdin,FOTO WET SKIN TRANSPARENT SPRAY SPF 50,2026-01-18T15:33:43,"Driver error during search: Message: 
"
Fresenius Kabi,FRESUBIN 2 KCAL CREME,2026-01-18T15:38:41,"Driver error during search: Message: 
"
Vannier,FUROSEMIDA VANNIER,2026-01-18T15:48:42,"Driver error during search: Message: 
"
Vent 3,FUROSEMIDA VENT-3,2026-01-18T15:49:03,"Driver error during search: Message: 
"
Sant Gall,GALCICLINA SANT GALL,2026-01-18T15:57:01,"Driver error during search: Message: 
"
Sidus,GATIFLAX D,2026-01-18T16:03:49,"Driver error during extraction: Message: 
"
Elea,GATIMICIN,2026-01-18T16:04:14,"Driver error during extraction: Message: 
"
Elea,GATIMICIN D,2026-01-18T16:04:39,"Driver error during extraction: Message: 
"
Combe,GRECIAN 2000,2026-01-18T16:44:14,"Driver error opening product page: Message: TypeError: can't access property ""outerHTML"", this.document.documentElement is null
Stacktrace:
getPageSource@chrome://remote/content/marionette/actors/MarionetteCommandsChild.sys.mjs:500:5
receiveMessage@chrome://remote/content/marionette/actors/MarionetteCommandsChild.sys.mjs:251:31
"
Baliarda,HEMOVIT,2026-01-18T16:53:51,"Driver error during extraction: Message: 
"
IMA,HENILOT,2026-01-18T16:54:16,"Driver error during extraction: Message: 
"
Fecofar,HEPACHOFA HEPAT,2026-01-18T16:54:40,"Driver error during extraction: Message: 
"
Roche,HERCEPTIN SC,2026-01-18T16:58:41,"Driver error during search: Message: 
"
Bausch & Lomb Arg.,HYALOMB,2026-01-18T17:18:45,"Driver error during search: Message: 
"
Bagó,IBUNASTIZOL,2026-01-18T17:33:42,"Driver error during search: Message: 
"
Biotenk,IBUTENK 4%,2026-01-18T17:38:46,"Driver error during extraction: Message: 
"
Adium,IDENA,2026-01-18T17:40:31,OSError: [Errno 22] Invalid argument
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-18T17:43:18,"Driver error during search: Message: 
"
