Product,Company,URL,Source,Scraped_By_Selenium,Scraped_By_API
ACIMED,Lepetit,https://www.alfabeta.net/precio/acimed.html,selenium,no,no
ACIMED,Medisol,https://www.alfabeta.net/precio/acimed.html,selenium,no,no
ACIMED F,Sanitas,https://www.alfabeta.net/precio/acimed-f.html,selenium,no,no
ACIMED L,Lepetit,https://www.alfabeta.net/precio/acimed-l.html,selenium,no,no
ACIPOUN ORAL,Medipharma,https://www.alfabeta.net/precio/acipoun-oral.html,selenium,no,no
ACIVAL,Géminis Farmacéutica,https://www.alfabeta.net/precio/acival.html,selenium,no,no
ACLASTA,Biosidus S.A.U.,https://www.alfabeta.net/precio/aclasta.html,selenium,no,no
ACLER,Pharmatrix,https://www.alfabeta.net/precio/acler.html,selenium,no,no
ACLOSAN,Eurofarma,https://www.alfabeta.net/precio/aclosan.html,selenium,no,no
ACLOXIGENAC,Eczane,https://www.alfabeta.net/precio/acloxigenac.html,selenium,no,no
ACLOXIGENAC LP,Eczane,https://www.alfabeta.net/precio/acloxigenac-lp.html,selenium,no,no
ACLOXIGENAC PLUS,Eczane,https://www.alfabeta.net/precio/acloxigenac-plus.html,selenium,no,no
ACLUSIN,Casasco,https://www.alfabeta.net/precio/aclusin.html,selenium,no,no
ACNECLIN,Siegfried,https://www.alfabeta.net/precio/acneclin.html,selenium,no,no
ACNECLIN 100 AP,Siegfried,https://www.alfabeta.net/precio/acneclin-100-ap.html,selenium,no,no
ACNECLIN PBA,Siegfried,https://www.alfabeta.net/precio/acneclin-pba.html,selenium,no,no
ACNEIQUE,Cepage,https://www.alfabeta.net/precio/acneique.html,selenium,no,no
ACNEIQUE EXFOLIANT,Cepage,https://www.alfabeta.net/precio/acneique-exfoliant.html,selenium,no,no
ACNEIQUE GEL,Cepage,https://www.alfabeta.net/precio/acneique-gel.html,selenium,no,no
ACNEIQUE H2O,Cepage,https://www.alfabeta.net/precio/acneique-h2o.html,selenium,no,no
ACNEIQUE MAT,Cepage,https://www.alfabeta.net/precio/acneique-mat.html,selenium,no,no
ACNEIQUE SERUM,Cepage,https://www.alfabeta.net/precio/acneique-serum.html,selenium,no,no
ACNESAN,Fortbenton,https://www.alfabeta.net/precio/acnesan.html,selenium,no,no
ACNESAN DRY STICK,Fortbenton,https://www.alfabeta.net/precio/acnesan-dry-stick.html,selenium,no,no
ACNETROL,Lagos,https://www.alfabeta.net/precio/acnetrol.html,selenium,no,no
ACNOXIN,Andrómaco,https://www.alfabeta.net/precio/acnoxin.html,selenium,no,no
ACPAN,Gray,https://www.alfabeta.net/precio/acpan.html,selenium,no,no
ACROSS BAP,Novarum Pharma,https://www.alfabeta.net/precio/across-bap.html,selenium,no,no
ACROSS BID,Novarum Pharma,https://www.alfabeta.net/precio/across-bid.html,selenium,no,no
ACROSS BIDC,Novarum Pharma,https://www.alfabeta.net/precio/across-bidc.html,selenium,no,no
ACROSS ENERGY,Novarum Pharma,https://www.alfabeta.net/precio/across-energy.html,selenium,no,no
ACROSS GEL DEPORTIVO,Novarum Pharma,https://www.alfabeta.net/precio/across-gel-deportivo.html,selenium,no,no
ACROSS GEL DEPORTIVO C/CAFEINA,Novarum Pharma,https://www.alfabeta.net/precio/across-gel-deportivo-ccafeina.html,selenium,no,no
ACROSS LEUCINE,Novarum Pharma,https://www.alfabeta.net/precio/across-leucine.html,selenium,no,no
ACROSS SABA,Novarum Pharma,https://www.alfabeta.net/precio/across-saba.html,selenium,no,no
ACROSS SM,Novarum Pharma,https://www.alfabeta.net/precio/across-sm.html,selenium,no,no
ACROSS SMC,Novarum Pharma,https://www.alfabeta.net/precio/across-smc.html,selenium,no,no
ACROSS SP,Novarum Pharma,https://www.alfabeta.net/precio/across-sp.html,selenium,no,no
ACROSS SPBAC,Novarum Pharma,https://www.alfabeta.net/precio/across-spbac.html,selenium,no,no
ACROSS SPC,Novarum Pharma,https://www.alfabeta.net/precio/across-spc.html,selenium,no,no
ACROSS SR,Novarum Pharma,https://www.alfabeta.net/precio/across-sr.html,selenium,no,no
ACROSS SRC,Novarum Pharma,https://www.alfabeta.net/precio/across-src.html,selenium,no,no
ACRYLARM,Poen,https://www.alfabeta.net/precio/acrylarm.html,selenium,no,no
ACRYLARM PLUS,Poen,https://www.alfabeta.net/precio/acrylarm-plus.html,selenium,no,no
ACTEMIN,Lazar,https://www.alfabeta.net/precio/actemin.html,selenium,no,no
ACTEMRA,Roche,https://www.alfabeta.net/precio/actemra.html,selenium,no,no
ACTEMRA SC,Roche,https://www.alfabeta.net/precio/actemra-sc.html,selenium,no,no
ACTIFEDRIN NASAL,Siegfried,https://www.alfabeta.net/precio/actifedrin-nasal.html,selenium,no,no
ACTILUZOL,Bioprofarma Bagó,https://www.alfabeta.net/precio/actiluzol.html,selenium,no,no
ACTILYSE,Boehringer Ingelheim,https://www.alfabeta.net/precio/actilyse.html,selenium,no,no
ACTIMAX,Siegfried,https://www.alfabeta.net/precio/actimax.html,selenium,no,no
ACTIMIB,Filaxis Farmacéutica,https://www.alfabeta.net/precio/actimib.html,selenium,no,no
ACTINERVAL,Bagó,https://www.alfabeta.net/precio/actinerval.html,selenium,no,no
ACTIRELAX,Northia,https://www.alfabeta.net/precio/actirelax.html,selenium,no,no
ACTIRELAX NORTHIA,Northia,https://www.alfabeta.net/precio/actirelax-northia.html,selenium,no,no
ACTISON,Eurofarma,https://www.alfabeta.net/precio/actison.html,selenium,no,no
ACTIUM,Monserrat,https://www.alfabeta.net/precio/actium.html,selenium,no,no
ACTIVAMENT 5HTP,Framingham Pharma,https://www.alfabeta.net/precio/activament-5htp.html,selenium,no,no
ACTIVIL,Casasco,https://www.alfabeta.net/precio/activil.html,selenium,no,no
ACTIVIL MASTICABLE,Casasco,https://www.alfabeta.net/precio/activil-masticable.html,selenium,no,no
ACTOBIAN,Savant Generic,https://www.alfabeta.net/precio/actobian.html,selenium,no,no
ACTRON,Bayer Consumer,https://www.alfabeta.net/precio/actron.html,selenium,no,no
ACTRON 400 RAPIDA ACCION NF,Bayer Consumer,https://www.alfabeta.net/precio/actron-400-rapida-accion-nf.html,selenium,no,no
ACTRON 600 RAPIDA ACCION,Bayer Consumer,https://www.alfabeta.net/precio/actron-600-rapida-accion.html,selenium,no,no
ACTRON 600 RAPIDA ACCION NUEVA FORMULA,Bayer Consumer,https://www.alfabeta.net/precio/actron-600-rapida-accion-nueva-formula.html,selenium,no,no
ACTRON FLEX,Bayer Consumer,https://www.alfabeta.net/precio/actron-flex.html,selenium,no,no
ACTRON GEL,Bayer Consumer,https://www.alfabeta.net/precio/actron-gel.html,selenium,no,no
ACTRON MIGRA,Bayer Consumer,https://www.alfabeta.net/precio/actron-migra.html,selenium,no,no
ACTRON MUJER RAPIDA ACCION,Bayer Consumer,https://www.alfabeta.net/precio/actron-mujer-rapida-accion.html,selenium,no,no
ACTRON PEDIATRICO,Bayer Consumer,https://www.alfabeta.net/precio/actron-pediatrico.html,selenium,no,no
ACTRON PEDIATRICO 4%,Bayer Consumer,https://www.alfabeta.net/precio/actron-pediatrico-4.html,selenium,no,no
ACTRON PLUS,Bayer Consumer,https://www.alfabeta.net/precio/actron-plus.html,selenium,no,no
ACTRON RAPIDA ACCION NF,Bayer Consumer,https://www.alfabeta.net/precio/actron-rapida-accion-nf.html,selenium,no,no
ACULAR,Abbvie,https://www.alfabeta.net/precio/acular.html,selenium,no,no
ACULAR LS,Abbvie,https://www.alfabeta.net/precio/acular-ls.html,selenium,no,no
ACUS,Roemmers,https://www.alfabeta.net/precio/acus.html,selenium,no,no
ADACEL,Sanofi Health Argentina S.A.,https://www.alfabeta.net/precio/adacel.html,selenium,no,no
ADAPNE,Oxapharma,https://www.alfabeta.net/precio/adapne.html,selenium,no,no
ADAPNE DUO,Oxapharma,https://www.alfabeta.net/precio/adapne-duo.html,selenium,no,no
ADAPNE DUO FORTE,Oxapharma,https://www.alfabeta.net/precio/adapne-duo-forte.html,selenium,no,no
ADCETRIS,Takeda Argentina S.A.,https://www.alfabeta.net/precio/adcetris.html,selenium,no,no
ADDENTA,Richmond,https://www.alfabeta.net/precio/addenta.html,selenium,no,no
ADECONCE,Lafedar,https://www.alfabeta.net/precio/adeconce.html,selenium,no,no
ADEENE DRAWER,Drawer,https://www.alfabeta.net/precio/adeene-drawer.html,selenium,no,no
ADELGAFRUTA BATIDO SACIANTE,Pharmamerican S.R.L.,https://www.alfabeta.net/precio/adelgafruta-batido-saciante.html,selenium,no,no
ADELGAR SILUETA A.M.,A.M. Farma Activ,https://www.alfabeta.net/precio/adelgar-silueta-am.html,selenium,no,no
ADELGAZA-T,San Ceferino,https://www.alfabeta.net/precio/adelgaza-t.html,selenium,no,no
ADEMPAS,Bayer (PH),https://www.alfabeta.net/precio/adempas.html,selenium,no,no
ADENIL,Austral,https://www.alfabeta.net/precio/adenil.html,selenium,no,no
ADENOSINA BIOL,Biol,https://www.alfabeta.net/precio/adenosina-biol.html,selenium,no,no
ADENOSINA GEMEPE,Gemepe,https://www.alfabeta.net/precio/adenosina-gemepe.html,selenium,no,no
ADENOSINA GOBBI,Gobbi,https://www.alfabeta.net/precio/adenosina-gobbi.html,selenium,no,no
ADERMICINA,Elea,https://www.alfabeta.net/precio/adermicina.html,selenium,no,no
ADERMICINA A,Elea,https://www.alfabeta.net/precio/adermicina-a.html,selenium,no,no
ADERMICINA A 2X1,Elea,https://www.alfabeta.net/precio/adermicina-a-2x1.html,selenium,no,no
ADERMICINA AE,Elea,https://www.alfabeta.net/precio/adermicina-ae.html,selenium,no,no
ADERMICINA ANTI ACNE,Elea,https://www.alfabeta.net/precio/adermicina-anti-acne.html,selenium,no,no
ADERMICINA CUIDADO FACIAL,Elea,https://www.alfabeta.net/precio/adermicina-cuidado-facial.html,selenium,no,no
ADERMICINA JABON,Elea,https://www.alfabeta.net/precio/adermicina-jabon.html,selenium,no,no
ADERMITRIN,Laboratorio Merlino,https://www.alfabeta.net/precio/adermitrin.html,selenium,no,no
ADEROGYL,Laboratorio Millet,https://www.alfabeta.net/precio/aderogyl.html,selenium,no,no
ADESIAL,Savant Generic,https://www.alfabeta.net/precio/adesial.html,selenium,no,no
ADEVIT,Química Luar,https://www.alfabeta.net/precio/adevit.html,selenium,no,no
ADHESOL BIOL,Biol,https://www.alfabeta.net/precio/adhesol-biol.html,selenium,no,no
ADIKAN,Rossmore Pharma,https://www.alfabeta.net/precio/adikan.html,selenium,no,no
ADITIVOS PARENTERALES,Rivero,https://www.alfabeta.net/precio/aditivos-parenterales.html,selenium,no,no
ADIUVAN,Lazar,https://www.alfabeta.net/precio/adiuvan.html,selenium,no,no
ADIUVAN MET,Lazar,https://www.alfabeta.net/precio/adiuvan-met.html,selenium,no,no
ADRENALINA BIOL,Biol,https://www.alfabeta.net/precio/adrenalina-biol.html,selenium,no,no
ADRENALINA BIOQUIM,Duncan,https://www.alfabeta.net/precio/adrenalina-bioquim.html,selenium,no,no
ADRENALINA DRAWER,Drawer,https://www.alfabeta.net/precio/adrenalina-drawer.html,selenium,no,no
ADRENALINA LARJAN,Veinfar,https://www.alfabeta.net/precio/adrenalina-larjan.html,selenium,no,no
ADRENOL,Fabra,https://www.alfabeta.net/precio/adrenol.html,selenium,no,no
ADRENOL FORTE,Fabra,https://www.alfabeta.net/precio/adrenol-forte.html,selenium,no,no
ADROMUX,Ariston,https://www.alfabeta.net/precio/adromux.html,selenium,no,no
ADVATE,Takeda Argentina S.A.,https://www.alfabeta.net/precio/advate.html,selenium,no,no
ADYARD,Microsules Arg.,https://www.alfabeta.net/precio/adyard.html,selenium,no,no
ADYNOVATE 1000 BAXJECT III,Takeda Argentina S.A.,https://www.alfabeta.net/precio/adynovate-1000-baxject-iii.html,selenium,no,no
ADYNOVATE 1500 BAXJECT III,Takeda Argentina S.A.,https://www.alfabeta.net/precio/adynovate-1500-baxject-iii.html,selenium,no,no
ADYNOVATE 3000 BAXJECT III,Takeda Argentina S.A.,https://www.alfabeta.net/precio/adynovate-3000-baxject-iii.html,selenium,no,no
ADYNOVATE 500 BAXJECT III,Takeda Argentina S.A.,https://www.alfabeta.net/precio/adynovate-500-baxject-iii.html,selenium,no,no
AERIUS,Organon Arg.,https://www.alfabeta.net/precio/aerius.html,selenium,no,no
AEROCAMARA AEROCHAMBER,Silfab,https://www.alfabeta.net/precio/aerocamara-aerochamber.html,selenium,no,no
AEROCAMARA AEROSPACER ADULTO,Patejim,https://www.alfabeta.net/precio/aerocamara-aerospacer-adulto.html,selenium,no,no
AEROCAMARA AEROSPACER INFANTIL,Patejim,https://www.alfabeta.net/precio/aerocamara-aerospacer-infantil.html,selenium,no,no
