input_company,input_product_name,timestamp,error_message
Laboratorio ENA,CARNITINA PRO BURN,2026-01-24T20:49:14,"Driver error during search: Message: 
"
Baliarda,CARIPRAL,2026-01-24T20:49:30,"Driver error during search: Message: 
"
IMA,CARLFIX,2026-01-24T20:49:30,"Driver error during search: Message: 
"
Futerman Internat. Products,CIENTIFIC FACIAL SPRAY G,2026-01-24T20:56:08,"Driver error during search: Message: 
"
Futerman Internat. Products,CIENTIFIC HYDRATING DAY CREAM,2026-01-24T20:56:08,"Driver error during search: Message: 
"
Futerman Internat. Products,CIENTIFIC FACIAL TAPE MASK,2026-01-24T20:56:08,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-24T20:58:35,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-24T20:58:36,"Driver error during search: Message: 
"
Beta,CLAROVIL,2026-01-24T20:59:10,"Driver error during search: Message: 
"
Beta,DISCRETAL 2.5,2026-01-24T21:09:03,"Driver error during search: Message: 
"
Pharmatrix,DRUM ß,2026-01-24T21:10:43,"Driver error during search: Message: 
"
Siegfried,EMPAX MET,2026-01-24T21:12:39,"Driver error during search: Message: 
"
Elea,FALGOS EXPENDEDOR X 25 BL,2026-01-24T21:14:58,"Driver error during search: Message: 
"
Baliarda,FLUCOGINKAN,2026-01-24T21:19:10,"Driver error during search: Message: 
"
Lafedar,FLUCOLAF,2026-01-24T21:19:12,"Driver error during search: Message: 
"
Rivero,FLUCONAZOL 200 SOLUFLEX,2026-01-24T21:19:13,"Driver error during search: Message: 
"
Fabra,FLUCONAZOL FABRA 150,2026-01-24T21:19:13,"Driver error during search: Message: 
"
Jayor,FLUCONAZOL JAYOR,2026-01-24T21:19:15,"Driver error during search: Message: 
"
Richet,FLUCONAZOL RICHET,2026-01-24T21:19:15,"Driver error during search: Message: 
"
Laboratorios Bernabó,FLUORDENT KIDS,2026-01-24T21:19:35,"Driver error opening product page: Message: The element with the reference 18d0a4d3-ae19-43bb-a37c-7b6bd7c1abf6 is stale; either its node document is not the active document, or it is no longer connected to the DOM; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#staleelementreferenceexception
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:202:5
StaleElementReferenceError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:831:5
getKnownElement@chrome://remote/content/marionette/json.sys.mjs:412:11
deserializeJSON@chrome://remote/content/marionette/json.sys.mjs:270:20
cloneObject@chrome://remote/content/marionette/json.sys.mjs:59:24
deserializeJSON@chrome://remote/content/marionette/json.sys.mjs:298:16
cloneObject@chrome://remote/content/marionette/json.sys.mjs:59:24
deserializeJSON@chrome://remote/content/marionette/json.sys.mjs:298:16
json.deserialize@chrome://remote/content/marionette/json.sys.mjs:302:10
receiveMessage@chrome://remote/content/marionette/actors/MarionetteCommandsChild.sys.mjs:179:30
"
Celnova Argentina,JERINGAS BD UULTRAFINE 1 ML AGUJA CORTA,2026-01-24T21:33:22,"Driver error during search: Message: 
"
Celnova Argentina,JERINGAS BD ULTRAFINE 1 ML AGUJA MINI,2026-01-24T21:34:02,"Driver error during search: Message: 
"
