page,din_rows,ok_rows,unit_only_lines,pack_continuations,generics_detected,headers_found,issues
261,12,12,0,0,5,True,Header calibration weak | Manufacturer pack leaks (12) | Multiple generics (5)
262,25,25,0,11,3,True,Header calibration weak | Manufacturer pack leaks (25) | Multiple generics (3)
263,1,1,0,0,7,True,Header calibration weak | Manufacturer pack leaks (1) | Multiple generics (7)
264,18,18,0,3,4,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (4)
265,13,13,0,7,6,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (6)
266,27,27,0,12,4,True,Header calibration weak | Manufacturer pack leaks (27) | Multiple generics (4)
267,13,13,0,2,6,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (6)
271,32,32,0,13,3,True,Header calibration weak | Manufacturer pack leaks (32) | Multiple generics (3)
272,15,15,0,3,3,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (3)
276,7,7,0,0,9,True,Header calibration weak | Multiple generics (9)
277,11,11,0,0,10,True,Header calibration weak | Multiple generics (10)
281,1,1,0,0,8,True,Header calibration weak | Manufacturer pack leaks (1) | Multiple generics (8)
282,2,2,0,0,7,True,Header calibration weak | Manufacturer pack leaks (2) | Multiple generics (7)
287,19,19,0,8,8,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (8)
288,12,12,0,0,2,True,Header calibration weak | Manufacturer pack leaks (12)
289,12,12,0,3,7,True,Header calibration weak | Manufacturer pack leaks (12) | Multiple generics (7)
290,25,25,0,5,5,True,Header calibration weak | Manufacturer pack leaks (25) | Multiple generics (5)
291,16,16,0,3,6,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (6)
292,16,16,0,6,4,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (4)
293,23,23,0,12,2,True,Header calibration weak | Manufacturer pack leaks (23)
294,27,27,0,17,2,True,Header calibration weak | Manufacturer pack leaks (27)
295,25,25,0,20,2,True,Header calibration weak | Manufacturer pack leaks (25)
296,23,23,0,3,5,True,Header calibration weak | Manufacturer pack leaks (23) | Multiple generics (5)
297,12,12,0,2,2,True,Header calibration weak | Manufacturer pack leaks (12)
298,4,4,0,0,3,True,Header calibration weak | Manufacturer pack leaks (4) | Multiple generics (3)
301,2,2,0,0,8,True,Header calibration weak | Manufacturer pack leaks (2) | Multiple generics (8)
305,15,15,0,0,5,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (5)
306,9,9,0,0,6,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (6)
307,17,17,0,0,3,True,Header calibration weak | Manufacturer pack leaks (1) | Multiple generics (3)
308,10,10,0,0,5,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (5)
309,12,12,0,2,5,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (5)
310,10,10,0,0,6,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (6)
