Product,Company,URL,Source,Scraped_By_Selenium,Scraped_By_API,Selenium_Records,API_Records,Selenium_Attempt,Last_Attempt_Records
ACRYLARM,Poen,https://www.alfabeta.net/precio/acrylarm.html,selenium,yes,no,1,0,1,1
ACRYLARM PLUS,Poen,https://www.alfabeta.net/precio/acrylarm-plus.html,selenium,yes,no,1,0,1,1
ACTEMIN,Lazar,https://www.alfabeta.net/precio/actemin.html,selenium,yes,no,2,0,1,2
ACTEMRA,Roche,https://www.alfabeta.net/precio/actemra.html,selenium,yes,no,3,0,1,3
ACTEMRA SC,Roche,https://www.alfabeta.net/precio/actemra-sc.html,selenium,yes,no,1,0,1,1
ACTIFEDRIN NASAL,Siegfried,https://www.alfabeta.net/precio/actifedrin-nasal.html,selenium,yes,no,1,0,1,1
ACTILUZOL,Bioprofarma Bagó,https://www.alfabeta.net/precio/actiluzol.html,selenium,yes,no,1,0,1,1
ACTILYSE,Boehringer Ingelheim,https://www.alfabeta.net/precio/actilyse.html,selenium,yes,no,1,0,1,1
ACTIMAX,Siegfried,https://www.alfabeta.net/precio/actimax.html,selenium,yes,no,2,0,1,2
ACTIMIB,Filaxis Farmacéutica,https://www.alfabeta.net/precio/actimib.html,selenium,yes,no,1,0,1,1
ACTINERVAL,Bagó,https://www.alfabeta.net/precio/actinerval.html,selenium,yes,no,2,0,1,2
ACTIRELAX,Northia,https://www.alfabeta.net/precio/actirelax.html,selenium,yes,no,1,0,1,1
ACTIRELAX NORTHIA,Northia,https://www.alfabeta.net/precio/actirelax-northia.html,selenium,yes,no,1,0,1,1
ACTISON,Eurofarma,https://www.alfabeta.net/precio/actison.html,selenium,yes,no,2,0,1,2
ACTIUM,Monserrat,https://www.alfabeta.net/precio/actium.html,selenium,yes,no,1,0,1,1
ACTIVAMENT 5HTP,Framingham Pharma,https://www.alfabeta.net/precio/activament-5htp.html,selenium,yes,no,1,0,1,1
ACTIVIL,Casasco,https://www.alfabeta.net/precio/activil.html,selenium,yes,no,1,0,1,1
ACTIVIL MASTICABLE,Casasco,https://www.alfabeta.net/precio/activil-masticable.html,selenium,yes,no,1,0,1,1
ACTOBIAN,Savant Generic,https://www.alfabeta.net/precio/actobian.html,selenium,yes,no,1,0,1,1
ACTRON,Bayer Consumer,https://www.alfabeta.net/precio/actron.html,selenium,yes,no,2,0,1,2
ACTRON 400 RAPIDA ACCION NF,Bayer Consumer,https://www.alfabeta.net/precio/actron-400-rapida-accion-nf.html,selenium,no,no,0,0,0,0
ACTRON 600 RAPIDA ACCION,Bayer Consumer,https://www.alfabeta.net/precio/actron-600-rapida-accion.html,selenium,yes,no,2,0,1,2
ACTRON 600 RAPIDA ACCION NUEVA FORMULA,Bayer Consumer,https://www.alfabeta.net/precio/actron-600-rapida-accion-nueva-formula.html,selenium,yes,no,2,0,1,2
ACTRON FLEX,Bayer Consumer,https://www.alfabeta.net/precio/actron-flex.html,selenium,yes,no,1,0,1,1
ACTRON GEL,Bayer Consumer,https://www.alfabeta.net/precio/actron-gel.html,selenium,yes,no,1,0,1,1
ACTRON MIGRA,Bayer Consumer,https://www.alfabeta.net/precio/actron-migra.html,selenium,yes,no,1,0,1,1
ACTRON MUJER RAPIDA ACCION,Bayer Consumer,https://www.alfabeta.net/precio/actron-mujer-rapida-accion.html,selenium,yes,no,1,0,1,1
ACTRON PEDIATRICO,Bayer Consumer,https://www.alfabeta.net/precio/actron-pediatrico.html,selenium,yes,no,1,0,1,1
ACTRON PEDIATRICO 4%,Bayer Consumer,https://www.alfabeta.net/precio/actron-pediatrico-4.html,selenium,yes,no,2,0,1,2
ACTRON PLUS,Bayer Consumer,https://www.alfabeta.net/precio/actron-plus.html,selenium,yes,no,1,0,1,1
ACTRON RAPIDA ACCION NF,Bayer Consumer,https://www.alfabeta.net/precio/actron-rapida-accion-nf.html,selenium,yes,no,2,0,1,2
ACTUAL,Bagó,https://www.alfabeta.net/precio/actual.html,selenium,yes,no,2,0,1,2
ACULAR,Abbvie,https://www.alfabeta.net/precio/acular.html,selenium,yes,no,1,0,1,1
ACULAR LS,Abbvie,https://www.alfabeta.net/precio/acular-ls.html,selenium,yes,no,1,0,1,1
ACUS,Roemmers,https://www.alfabeta.net/precio/acus.html,selenium,yes,no,2,0,1,2
ADACEL,Sanofi Health Argentina S.A.,https://www.alfabeta.net/precio/adacel.html,selenium,yes,no,1,0,1,1
ADAPNE,Oxapharma,https://www.alfabeta.net/precio/adapne.html,selenium,yes,no,2,0,1,2
ADAPNE DUO,Oxapharma,https://www.alfabeta.net/precio/adapne-duo.html,selenium,yes,no,1,0,1,1
ADAPNE DUO FORTE,Oxapharma,https://www.alfabeta.net/precio/adapne-duo-forte.html,selenium,yes,no,1,0,1,1
ADCETRIS,Takeda Argentina S.A.,https://www.alfabeta.net/precio/adcetris.html,selenium,yes,no,1,0,1,1
ADDENTA,Richmond,https://www.alfabeta.net/precio/addenta.html,selenium,yes,no,1,0,1,1
ADECONCE,Lafedar,https://www.alfabeta.net/precio/adeconce.html,selenium,yes,no,1,0,1,1
ADEENE DRAWER,Drawer,https://www.alfabeta.net/precio/adeene-drawer.html,selenium,yes,no,1,0,1,1
ADELGAFRUTA BATIDO SACIANTE,Pharmamerican S.R.L.,https://www.alfabeta.net/precio/adelgafruta-batido-saciante.html,selenium,yes,no,2,0,1,2
ADELGAR SILUETA A.M.,A.M. Farma Activ,https://www.alfabeta.net/precio/adelgar-silueta-am.html,selenium,yes,no,1,0,1,1
ADELGAZA-T,San Ceferino,https://www.alfabeta.net/precio/adelgaza-t.html,selenium,yes,no,1,0,1,1
ADEMPAS,Bayer (PH),https://www.alfabeta.net/precio/adempas.html,selenium,yes,no,5,0,1,5
ADENIL,Austral,https://www.alfabeta.net/precio/adenil.html,selenium,yes,no,1,0,1,1
ADENOSINA BIOL,Biol,https://www.alfabeta.net/precio/adenosina-biol.html,selenium,yes,no,1,0,1,1
ADENOSINA GEMEPE,Gemepe,https://www.alfabeta.net/precio/adenosina-gemepe.html,selenium,yes,no,1,0,1,1
ADENOSINA GOBBI,Gobbi,https://www.alfabeta.net/precio/adenosina-gobbi.html,selenium,yes,no,1,0,1,1
ADERMICINA,Elea,https://www.alfabeta.net/precio/adermicina.html,selenium,yes,no,1,0,1,1
ADERMICINA A,Elea,https://www.alfabeta.net/precio/adermicina-a.html,selenium,yes,no,2,0,1,2
ADERMICINA A 2X1,Elea,https://www.alfabeta.net/precio/adermicina-a-2x1.html,selenium,yes,no,1,0,1,1
ADERMICINA AE,Elea,https://www.alfabeta.net/precio/adermicina-ae.html,selenium,yes,no,2,0,1,2
ADERMICINA ANTI ACNE,Elea,https://www.alfabeta.net/precio/adermicina-anti-acne.html,selenium,yes,no,1,0,1,1
ADERMICINA CUIDADO FACIAL,Elea,https://www.alfabeta.net/precio/adermicina-cuidado-facial.html,selenium,yes,no,7,0,1,7
ADERMICINA JABON,Elea,https://www.alfabeta.net/precio/adermicina-jabon.html,selenium,yes,no,3,0,1,3
ADERMITRIN,Laboratorio Merlino,https://www.alfabeta.net/precio/adermitrin.html,selenium,yes,no,1,0,1,1
ADEROGYL,Laboratorio Millet,https://www.alfabeta.net/precio/aderogyl.html,selenium,yes,no,1,0,1,1
ADESIAL,Savant Generic,https://www.alfabeta.net/precio/adesial.html,selenium,yes,no,2,0,1,2
ADEVIT,Química Luar,https://www.alfabeta.net/precio/adevit.html,selenium,yes,no,1,0,1,1
ADHESOL BIOL,Biol,https://www.alfabeta.net/precio/adhesol-biol.html,selenium,yes,no,2,0,1,2
ADIKAN,Rossmore Pharma,https://www.alfabeta.net/precio/adikan.html,selenium,yes,no,6,0,1,6
ADITIVOS PARENTERALES,Rivero,https://www.alfabeta.net/precio/aditivos-parenterales.html,selenium,yes,no,13,0,1,13
ADIUVAN,Lazar,https://www.alfabeta.net/precio/adiuvan.html,selenium,yes,no,2,0,1,2
